id	session	item	timestamp
3587441	2200	5040	2024-01-07 21:34:44
3587442	2201	5009	2024-01-07 23:35:23
3587443	2202	5043	2024-01-08 03:16:54
3587444	2202	5051	2024-01-08 03:16:54
3587445	2204	5026	2024-01-08 06:57:45
3587446	2205	5045	2024-01-08 07:32:44
3587447	2206	5044	2024-01-08 11:58:43
3587448	2206	5068	2024-01-08 11:58:43
3587449	2208	5078	2024-01-08 17:12:05
3587450	2209	5016	2024-01-08 19:48:14
3587451	2209	5065	2024-01-08 19:48:14
3587452	2211	5083	2024-01-09 00:10:53
3587453	2212	5053	2024-01-09 04:06:41
3587454	2213	5057	2024-01-09 08:19:50
3587455	2214	5036	2024-01-09 11:32:35
3587456	2215	5014	2024-01-09 15:02:28
3587457	2216	5042	2024-01-09 18:23:20
3587458	2217	5014	2024-01-09 22:09:27
3587459	2218	5024	2024-01-10 01:35:41
3587460	2219	5089	2024-01-10 03:29:11
3587461	2220	5069	2024-01-10 07:53:47
3587462	2221	5028	2024-01-10 08:57:40
3587463	2222	5063	2024-01-10 09:13:22
3587464	2223	5023	2024-01-10 13:20:03
3587465	2224	5049	2024-01-10 16:12:57
3587466	2225	5043	2024-01-10 17:38:25
3587467	2226	5012	2024-01-10 22:00:18
3587468	2227	5024	2024-01-10 22:28:35
3587469	2228	5054	2024-01-11 01:59:09
3587470	2229	5099	2024-01-11 05:18:51
3587471	2230	5078	2024-01-11 09:35:34
3587472	2231	5071	2024-01-11 14:12:57
3587473	2232	5081	2024-01-11 14:37:14
3587474	2232	5075	2024-01-11 14:37:14
3587475	2234	5072	2024-01-11 15:47:26
3587476	2235	5043	2024-01-11 20:28:55
3587477	2236	5040	2024-01-12 00:12:48
3587478	2237	5055	2024-01-12 01:41:50
3587479	2238	5005	2024-01-12 06:25:41
3587480	2239	5066	2024-01-12 09:04:07
3587481	2240	5042	2024-01-12 10:57:55
3587482	2241	5100	2024-01-12 13:59:24
3587483	2241	5063	2024-01-12 13:59:24
3587484	2241	5083	2024-01-12 13:59:24
3587485	2244	5046	2024-01-13 00:06:53
3587486	2245	5084	2024-01-13 04:31:13
3587487	2246	5095	2024-01-13 08:33:20
3587488	2247	5035	2024-01-13 09:54:34
3587489	2248	5090	2024-01-13 09:54:54
3587490	2249	5063	2024-01-13 11:55:19
3587491	2250	5098	2024-01-13 16:16:14
3587492	2250	5032	2024-01-13 16:16:14
3587493	2252	5073	2024-01-14 00:05:13
3587494	2253	5075	2024-01-14 00:35:05
3587495	2254	5019	2024-01-14 02:24:32
3587496	2255	5079	2024-01-14 05:52:43
3587497	2255	5019	2024-01-14 05:52:43
3587498	2257	5084	2024-01-14 09:52:46
3587499	2257	5061	2024-01-14 09:52:46
3587500	2259	5092	2024-01-14 16:18:23
3587501	2260	5038	2024-01-14 16:23:02
3587502	2261	5078	2024-01-14 20:32:47
3587503	2262	5068	2024-01-14 23:55:56
3587504	2263	5087	2024-01-15 02:14:22
3587505	2264	5022	2024-01-15 05:00:14
3587506	2264	5029	2024-01-15 05:00:14
3587507	2266	5041	2024-01-15 09:34:02
3587508	2267	5097	2024-01-15 11:04:33
3587509	2268	5086	2024-01-15 11:06:55
3587510	2269	5023	2024-01-15 13:51:40
3587511	2269	5067	2024-01-15 13:51:40
3587512	2271	5009	2024-01-15 14:56:19
3587513	2272	5042	2024-01-15 18:39:22
3587514	2273	5001	2024-01-15 22:19:41
3587515	2274	5055	2024-01-16 00:05:03
3587516	2275	5027	2024-01-16 00:28:19
3587517	2276	5002	2024-01-16 01:21:45
3587518	2277	5074	2024-01-16 05:40:26
3587519	2278	5024	2024-01-16 06:47:18
3587520	2279	5026	2024-01-16 11:31:14
3587521	2280	5091	2024-01-16 14:29:14
3587522	2281	5087	2024-01-16 17:55:58
3587523	2282	5040	2024-01-16 18:33:32
3587524	2283	5039	2024-01-16 20:18:46
3587525	2284	5028	2024-01-16 23:16:33
3587526	2285	5073	2024-01-17 03:03:32
3587527	2286	5073	2024-01-17 03:08:19
3587528	2287	5060	2024-01-17 07:44:40
3587529	2288	5003	2024-01-17 09:55:03
3587530	2289	5079	2024-01-17 12:36:29
3587531	2290	5038	2024-01-17 15:14:47
3587532	2291	5007	2024-01-17 19:29:38
3587533	2292	5033	2024-01-17 22:22:09
3587534	2293	5073	2024-01-18 01:21:58
3587535	2294	5082	2024-01-18 03:00:26
3587536	2295	5010	2024-01-18 03:47:45
3587537	2296	5041	2024-01-18 04:37:56
3587538	2297	5035	2024-01-18 08:36:51
3587539	2298	5004	2024-01-18 11:26:29
3587540	2299	5033	2024-01-18 15:47:04
3587541	2299	5014	2024-01-18 15:47:04
3587542	2301	5003	2024-01-18 19:11:21
3587543	2302	5031	2024-01-18 22:45:35
3587544	2303	5029	2024-01-19 03:20:45
3587545	2304	5086	2024-01-19 05:37:35
3587546	2305	5069	2024-01-19 05:52:09
3587547	2306	5012	2024-01-19 08:07:59
3587548	2307	5086	2024-01-19 11:50:36
3587549	2308	5014	2024-01-19 15:10:56
3587550	2309	5089	2024-01-19 18:36:24
3587551	2310	5087	2024-01-19 22:43:44
3587552	2310	5049	2024-01-19 22:43:44
3587553	2312	5070	2024-01-20 01:17:30
3587554	2312	5079	2024-01-20 01:17:30
3587555	2314	5033	2024-01-20 05:21:34
3587556	2315	5066	2024-01-20 06:07:56
3587557	2316	5086	2024-01-20 07:42:00
3587558	2317	5017	2024-01-20 09:06:38
3587559	2318	5025	2024-01-20 13:51:06
3587560	2319	5032	2024-01-20 15:24:18
3587561	2320	5026	2024-01-20 18:04:54
3587562	2321	5050	2024-01-20 20:49:46
3587563	2321	5024	2024-01-20 20:49:46
3587564	2323	5006	2024-01-20 23:08:25
3587565	2324	5040	2024-01-21 01:17:52
3587566	2325	5046	2024-01-21 04:58:38
3587567	2326	5079	2024-01-21 09:04:21
3587568	2327	5018	2024-01-21 10:33:59
3587569	2328	5082	2024-01-21 13:02:49
3587570	2329	5096	2024-01-21 16:19:02
3587571	2330	5035	2024-01-21 18:35:49
3587572	2331	5060	2024-01-21 22:41:50
3587573	2332	5055	2024-01-22 01:57:06
3587574	2333	5071	2024-01-22 05:11:25
3587575	2334	5014	2024-01-22 09:07:35
3587576	2335	5065	2024-01-22 10:35:03
3587577	2336	5010	2024-01-22 12:04:55
3587578	2337	5016	2024-01-22 13:49:48
3587579	2338	5030	2024-01-22 14:05:28
3587580	2339	5042	2024-01-22 16:17:34
3587581	2339	5040	2024-01-22 16:17:34
3587582	2341	5008	2024-01-22 21:10:32
3587583	2342	5054	2024-01-22 21:38:26
3587584	2343	5036	2024-01-22 21:38:47
3587585	2344	5005	2024-01-23 00:16:05
3587586	2344	5097	2024-01-23 00:16:05
3587587	2346	5091	2024-01-23 06:01:22
3587588	2346	5011	2024-01-23 06:01:22
3587589	2348	5072	2024-01-23 11:59:38
3587590	2349	5062	2024-01-23 14:33:15
3587591	2350	5021	2024-01-23 17:52:11
3587592	2351	5057	2024-01-23 20:09:31
3587593	2352	5071	2024-01-24 00:51:35
3587594	2353	5076	2024-01-24 03:09:16
3587595	2354	5027	2024-01-24 06:02:57
3587596	2355	5009	2024-01-24 09:32:25
3587597	2356	5058	2024-01-24 11:58:29
3587598	2357	5084	2024-01-24 15:16:27
3587599	2357	5050	2024-01-24 15:16:27
3587600	2359	5056	2024-01-24 16:47:38
3587601	2360	5020	2024-01-24 19:59:50
3587602	2361	5038	2024-01-25 00:45:21
3587603	2362	5025	2024-01-25 03:42:03
3587604	2363	5015	2024-01-25 05:06:54
3587605	2364	5081	2024-01-25 06:29:01
3587606	2365	5027	2024-01-25 09:01:40
3587607	2366	5092	2024-01-25 10:11:07
3587608	2367	5064	2024-01-25 13:57:29
3587609	2368	5023	2024-01-25 17:59:21
3587610	2369	5033	2024-01-25 21:06:47
3587611	2370	5014	2024-01-25 21:11:35
3587612	2371	5060	2024-01-25 21:53:56
3587613	2372	5040	2024-01-26 01:28:41
3587614	2373	5074	2024-01-26 03:48:59
3587615	2374	5030	2024-01-26 05:59:47
3587616	2375	5023	2024-01-26 07:39:35
3587617	2376	5065	2024-01-26 09:21:14
3587618	2377	5020	2024-01-26 10:52:02
3587619	2378	5017	2024-01-26 12:33:08
3587620	2379	5013	2024-01-26 13:05:39
3587621	2380	5098	2024-01-26 13:18:12
3587622	2381	5089	2024-01-26 13:39:55
3587623	2382	5058	2024-01-26 15:58:14
3587624	2383	5051	2024-01-26 19:20:11
3587625	2384	5092	2024-01-26 23:09:38
3587626	2384	5076	2024-01-26 23:09:38
3587627	2386	5024	2024-01-27 05:50:12
3587628	2387	5047	2024-01-27 06:18:30
3587629	2388	5075	2024-01-27 07:30:20
3587630	2389	5098	2024-01-27 09:39:19
3587631	2390	5098	2024-01-27 11:07:39
3587632	2391	5042	2024-01-27 11:19:53
3587633	2392	5054	2024-01-27 14:09:29
3587634	2393	5037	2024-01-27 15:52:10
3587635	2394	5013	2024-01-27 19:46:53
3587636	2395	5022	2024-01-27 20:06:48
3587637	2396	5079	2024-01-27 22:53:16
3587638	2396	5029	2024-01-27 22:53:16
3587639	2398	5064	2024-01-28 02:55:40
3587640	2399	5011	2024-01-28 03:03:58
3587641	2400	5083	2024-01-28 06:07:54
3587642	2401	5045	2024-01-28 08:22:22
3587643	2402	5081	2024-01-28 12:20:27
3587644	2403	5076	2024-01-28 13:10:52
3587645	2404	5041	2024-01-28 14:06:57
3587646	2405	5053	2024-01-28 18:25:48
3587647	2406	5096	2024-01-28 21:15:56
3587648	2407	5012	2024-01-29 01:54:19
3587649	2407	5060	2024-01-29 01:54:19
3587650	2409	5025	2024-01-29 05:56:38
3587651	2410	5092	2024-01-29 09:33:29
3587652	2411	5081	2024-01-29 10:27:59
3587653	2412	5006	2024-01-29 10:44:53
3587654	2413	5100	2024-01-29 11:30:18
3587655	2414	5008	2024-01-29 13:54:31
3587656	2414	5079	2024-01-29 13:54:31
3587657	2416	5048	2024-01-29 20:20:41
3587658	2417	5021	2024-01-29 21:29:57
3587659	2418	5031	2024-01-29 22:08:21
3587660	2419	5017	2024-01-30 01:27:21
3587661	2420	5002	2024-01-30 03:53:50
3587662	2420	5056	2024-01-30 03:53:50
3587663	2422	5047	2024-01-30 06:14:19
3587664	2423	5079	2024-01-30 08:14:09
3587665	2423	5021	2024-01-30 08:14:09
3587666	2425	5051	2024-01-30 12:49:25
3587667	2426	5026	2024-01-30 16:03:29
3587668	2427	5084	2024-01-30 19:15:26
3587669	2428	5066	2024-01-30 21:53:28
3587670	2429	5055	2024-01-30 22:23:22
3587671	2430	5040	2024-01-31 02:17:26
3587672	2431	5079	2024-01-31 03:13:59
3587673	2432	5090	2024-01-31 07:19:04
3587674	2433	5079	2024-01-31 11:02:00
3587675	2434	5093	2024-01-31 12:52:12
3587676	2434	5019	2024-01-31 12:52:12
3587677	2436	5022	2024-01-31 15:14:57
3587678	2437	5022	2024-01-31 18:37:07
3587679	2437	5078	2024-01-31 18:37:07
3587680	2439	5048	2024-02-01 00:33:47
3587681	2440	5015	2024-02-01 04:54:40
3587682	2441	5097	2024-02-01 06:01:59
3587683	2442	5088	2024-02-01 07:57:45
3587684	2443	5036	2024-02-01 08:57:55
3587685	2444	5044	2024-02-01 10:14:07
3587686	2445	5038	2024-02-01 14:47:33
3587687	2446	5074	2024-02-01 18:29:21
3587688	2447	5067	2024-02-01 21:33:31
3587689	2448	5063	2024-02-01 21:42:23
3587690	2449	5069	2024-02-02 01:27:35
3587691	2450	5092	2024-02-02 05:55:05
3587692	2451	5068	2024-02-02 07:25:06
3587693	2452	5019	2024-02-02 10:00:26
3587694	2453	5024	2024-02-02 11:17:50
3587695	2454	5079	2024-02-02 12:03:13
3587696	2455	5010	2024-02-02 15:06:55
3587697	2456	5040	2024-02-02 18:24:41
3587698	2457	5094	2024-02-02 22:56:29
3587699	2458	5061	2024-02-03 03:07:05
3587700	2459	5088	2024-02-03 05:04:01
3587701	2460	5016	2024-02-03 09:19:19
3587702	2461	5076	2024-02-03 10:42:34
3587703	2462	5058	2024-02-03 13:30:10
3587704	2463	5009	2024-02-03 17:29:42
3587705	2464	5012	2024-02-03 22:08:10
3587706	2465	5065	2024-02-04 02:51:27
3587707	2466	5007	2024-02-04 03:27:55
